0.016,0.011,0.027,0.0,0.0,0.025,0.041,0.04,0.068,0.069,0.0,0.06,0.466,0.001,0.003,0.001,0.005,0.001,0.001,0.001,0.005,0.0,0.001,0.001,0.0,0.007,0.027,0.001,0.024,0.001,0.003,0.002,0.023,0.006,0.001,0.005,0.006,0.006,0.006,0.004,0.022,0.003,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.002,0.0,0.0,0.0
0.031,0.029,0.034,0.0,0.002,0.049,0.003,0.055,0.019,0.627,0.049,0.0,0.012,0.0,0.003,0.002,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.014,0.017,0.0,0.003,0.0,0.001,0.001,0.006,0.004,0.001,0.003,0.004,0.001,0.004,0.003,0.005,0.003,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.004,0.0,0.0,0.0
0.014,0.01,0.019,0.0,0.0,0.024,0.061,0.02,0.042,0.044,0.502,0.04,0.0,0.001,0.004,0.001,0.007,0.001,0.001,0.001,0.006,0.0,0.002,0.001,0.001,0.006,0.048,0.001,0.029,0.001,0.003,0.002,0.026,0.006,0.001,0.005,0.006,0.007,0.013,0.008,0.025,0.002,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.002,0.0,0.0,0.0
0.009,0.01,0.031,0.002,0.001,0.008,0.004,0.004,0.004,0.038,0.005,0.048,0.005,0.0,0.18,0.168,0.003,0.004,0.005,0.004,0.006,0.003,0.004,0.004,0.003,0.006,0.004,0.004,0.016,0.003,0.006,0.007,0.018,0.011,0.007,0.013,0.013,0.004,0.011,0.006,0.017,0.12,0.004,0.004,0.004,0.004,0.004,0.005,0.003,0.002,0.055,0.072,0.014,0.007,0.001,0.002,0.002
0.019,0.021,0.002,0.001,0.001,0.017,0.003,0.003,0.002,0.017,0.004,0.016,0.004,0.08,0.0,0.297,0.001,0.006,0.002,0.002,0.003,0.009,0.002,0.004,0.003,0.004,0.002,0.002,0.011,0.001,0.005,0.003,0.013,0.033,0.004,0.027,0.035,0.002,0.005,0.003,0.012,0.203,0.013,0.017,0.003,0.002,0.002,0.005,0.002,0.002,0.011,0.044,0.001,0.007,0.001,0.001,0.004
0.007,0.007,0.012,0.001,0.001,0.006,0.006,0.003,0.003,0.007,0.004,0.007,0.007,0.094,0.503,0.0,0.002,0.003,0.004,0.004,0.005,0.003,0.004,0.003,0.002,0.004,0.003,0.003,0.014,0.002,0.005,0.006,0.016,0.008,0.004,0.008,0.009,0.004,0.01,0.006,0.015,0.075,0.003,0.004,0.01,0.005,0.004,0.007,0.003,0.004,0.017,0.027,0.002,0.013,0.001,0.004,0.003
0.006,0.007,0.006,0.001,0.001,0.006,0.006,0.003,0.004,0.025,0.006,0.023,0.006,0.002,0.039,0.017,0.0,0.017,0.014,0.013,0.013,0.003,0.009,0.006,0.005,0.004,0.006,0.005,0.142,0.014,0.011,0.017,0.157,0.056,0.003,0.011,0.031,0.01,0.021,0.011,0.19,0.023,0.004,0.003,0.002,0.001,0.002,0.004,0.002,0.001,0.006,0.005,0.007,0.009,0.001,0.002,0.003
0.008,0.009,0.007,0.001,0.001,0.008,0.009,0.007,0.007,0.014,0.01,0.013,0.01,0.006,0.132,0.022,0.013,0.0,0.034,0.018,0.021,0.011,0.021,0.013,0.011,0.009,0.009,0.013,0.044,0.01,0.015,0.044,0.05,0.046,0.009,0.018,0.031,0.014,0.03,0.017,0.099,0.039,0.011,0.011,0.004,0.004,0.005,0.006,0.004,0.003,0.007,0.024,0.003,0.006,0.001,0.002,0.003
0.008,0.009,0.007,0.001,0.001,0.008,0.011,0.007,0.008,0.014,0.011,0.013,0.011,0.005,0.007,0.006,0.067,0.103,0.0,0.018,0.02,0.007,0.014,0.011,0.009,0.009,0.011,0.017,0.097,0.013,0.017,0.024,0.108,0.034,0.008,0.016,0.026,0.015,0.032,0.017,0.11,0.007,0.007,0.007,0.003,0.003,0.004,0.005,0.003,0.002,0.006,0.006,0.003,0.006,0.001,0.002,0.003
0.002,0.002,0.001,0.0,0.0,0.002,0.002,0.001,0.001,0.005,0.003,0.004,0.002,0.008,0.016,0.005,0.019,0.008,0.002,0.0,0.268,0.001,0.015,0.145,0.118,0.002,0.009,0.001,0.012,0.03,0.003,0.01,0.015,0.023,0.001,0.01,0.021,0.173,0.01,0.005,0.017,0.014,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.003
0.006,0.007,0.002,0.003,0.0,0.006,0.01,0.001,0.001,0.028,0.003,0.026,0.007,0.004,0.037,0.004,0.025,0.016,0.003,0.008,0.0,0.001,0.038,0.146,0.064,0.004,0.01,0.001,0.021,0.023,0.003,0.051,0.028,0.024,0.001,0.002,0.017,0.15,0.061,0.037,0.059,0.034,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.006,0.005,0.001,0.001,0.0,0.002,0.006
0.016,0.009,0.006,0.001,0.003,0.008,0.008,0.012,0.013,0.025,0.026,0.024,0.017,0.006,0.055,0.009,0.016,0.013,0.046,0.017,0.023,0.0,0.034,0.018,0.013,0.007,0.007,0.007,0.041,0.008,0.013,0.021,0.049,0.021,0.007,0.012,0.018,0.015,0.031,0.019,0.047,0.04,0.009,0.072,0.014,0.01,0.007,0.013,0.01,0.003,0.018,0.017,0.013,0.024,0.002,0.003,0.005
0.006,0.007,0.005,0.001,0.001,0.006,0.007,0.005,0.006,0.011,0.015,0.01,0.016,0.005,0.034,0.006,0.009,0.028,0.014,0.021,0.027,0.087,0.0,0.022,0.02,0.006,0.006,0.013,0.04,0.009,0.013,0.023,0.048,0.093,0.005,0.02,0.076,0.016,0.031,0.018,0.048,0.036,0.006,0.073,0.003,0.003,0.004,0.005,0.004,0.002,0.007,0.006,0.003,0.006,0.001,0.002,0.003
0.019,0.019,0.002,0.008,0.001,0.018,0.026,0.002,0.002,0.005,0.007,0.004,0.007,0.002,0.07,0.021,0.039,0.041,0.005,0.014,0.193,0.004,0.131,0.0,0.014,0.002,0.003,0.002,0.023,0.01,0.007,0.015,0.029,0.03,0.002,0.003,0.027,0.038,0.02,0.013,0.029,0.049,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.003,0.002,0.001,0.002,0.001,0.001,0.016
0.004,0.004,0.003,0.001,0.001,0.003,0.005,0.003,0.003,0.006,0.009,0.006,0.01,0.002,0.024,0.003,0.006,0.012,0.008,0.023,0.032,0.006,0.202,0.029,0.0,0.003,0.004,0.007,0.06,0.008,0.009,0.019,0.075,0.047,0.003,0.01,0.04,0.016,0.106,0.031,0.077,0.024,0.003,0.005,0.003,0.002,0.002,0.003,0.002,0.001,0.004,0.003,0.002,0.003,0.001,0.001,0.021
0.072,0.098,0.059,0.001,0.001,0.082,0.009,0.03,0.034,0.128,0.018,0.126,0.014,0.004,0.006,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.002,0.002,0.001,0.0,0.028,0.003,0.012,0.002,0.005,0.005,0.012,0.05,0.031,0.033,0.057,0.003,0.007,0.004,0.012,0.005,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.003,0.002,0.001,0.005,0.0,0.001,0.001
0.013,0.014,0.003,0.0,0.0,0.013,0.036,0.076,0.127,0.044,0.207,0.05,0.145,0.001,0.007,0.001,0.003,0.004,0.004,0.003,0.004,0.001,0.002,0.007,0.005,0.01,0.0,0.005,0.017,0.002,0.008,0.006,0.046,0.01,0.006,0.008,0.01,0.003,0.025,0.005,0.043,0.006,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.0,0.001,0.001
0.007,0.008,0.006,0.001,0.001,0.007,0.008,0.018,0.013,0.012,0.017,0.011,0.017,0.004,0.02,0.017,0.007,0.009,0.018,0.008,0.01,0.02,0.007,0.006,0.004,0.012,0.009,0.0,0.159,0.006,0.025,0.012,0.173,0.033,0.009,0.018,0.032,0.007,0.018,0.01,0.169,0.008,0.005,0.004,0.002,0.002,0.003,0.004,0.002,0.001,0.005,0.004,0.002,0.004,0.001,0.001,0.004
0.004,0.005,0.004,0.0,0.0,0.004,0.021,0.013,0.015,0.049,0.053,0.032,0.054,0.002,0.003,0.0,0.022,0.002,0.001,0.003,0.01,0.0,0.001,0.002,0.001,0.007,0.008,0.001,0.0,0.004,0.016,0.021,0.273,0.024,0.002,0.012,0.023,0.013,0.061,0.013,0.209,0.003,0.001,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.001,0.001,0.0,0.002,0.0,0.0,0.0
0.008,0.008,0.007,0.001,0.001,0.008,0.008,0.004,0.005,0.035,0.007,0.073,0.008,0.002,0.045,0.022,0.018,0.026,0.043,0.028,0.024,0.004,0.012,0.01,0.008,0.005,0.007,0.013,0.058,0.0,0.017,0.04,0.068,0.062,0.003,0.012,0.036,0.021,0.039,0.02,0.08,0.037,0.005,0.004,0.003,0.002,0.009,0.005,0.002,0.001,0.004,0.003,0.01,0.012,0.001,0.003,0.003
0.007,0.005,0.002,0.0,0.001,0.005,0.061,0.026,0.014,0.075,0.094,0.049,0.107,0.001,0.002,0.001,0.006,0.002,0.003,0.004,0.005,0.0,0.001,0.001,0.001,0.018,0.007,0.006,0.146,0.004,0.0,0.004,0.097,0.027,0.001,0.019,0.026,0.005,0.052,0.022,0.077,0.002,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.004,0.003,0.0,0.001,0.0,0.0,0.0
0.001,0.001,0.005,0.0,0.0,0.001,0.032,0.003,0.005,0.029,0.024,0.026,0.052,0.001,0.009,0.003,0.051,0.002,0.003,0.003,0.013,0.001,0.004,0.001,0.001,0.002,0.008,0.001,0.104,0.003,0.014,0.0,0.099,0.01,0.0,0.004,0.009,0.04,0.132,0.059,0.233,0.005,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.005,0.003,0.0,0.0,0.003,0.015,0.005,0.008,0.025,0.035,0.018,0.041,0.002,0.005,0.001,0.029,0.001,0.002,0.003,0.01,0.0,0.001,0.002,0.001,0.001,0.004,0.0,0.296,0.003,0.006,0.036,0.0,0.013,0.001,0.006,0.012,0.022,0.077,0.016,0.282,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
